acq	wtc shareholders approve pittston pco buyout pittston co said wtc international n v shareholders approved the acquisition of the company by pittston terms of the transaction call for pittston to exchange of its own common shares for each outstanding wtc share pittston said wtc is engaged in domestic international air freight ocean and surface freight forwarding and consolidation and distribution services reuter 
acq	home federal hfbf o sets shareholder meeting home federal bank of florida f s b hfbf o said it has scheduled a special shareholders meetng for july to approve proposed changes to the bank s charter and merge with barnett bank inc s barnett bank of pinellas county n a home federal said the meeting is to approve a definitive agreement signed may calling for each share of home federal s common stock to be exchanged for about dlrs in market value of barnett common stock the exchange would be based on conversion of home federal shares of not less than or more than shares of barnett stocks at dlrs a share home federal said the total market value of the transaction would be about mln dlrs home federal said notice of the meeting and related proxy materials which has been filed previously with the securities and exchange commission and the federal home loan bank board were mailed on june to holders of record on june reuter 
crude	chevron n sea find may hold mln bbls analysts a north sea oil find announced by chevron corp s chv chevron exploration north sea ltd may indicate a new field with recoverable crude oil reserves of mln barrels industry analysts said chevron said a sidetrack well on block on the u k continental shelf tested barrels per day bpd of api crude oil from the tertiary alba sand through a three inch surface choke the estimated amount of oil at the alba field is around mln barrels paul spedding of stockbroker kleinwort grieveson and co told reuters he said industry estimates put the total reserves at the field at over one billion barrels but given the low gravity of oil the recovery rate would be expected to be around pct analysts said the results were encouraging but the potential difficulty of operating and recovering oil in the field was shown by the fact that the first well had to be plugged and a sidetrack drilled the field seems to be shallow and widespread which will require a multi platform development in recovery pushing costs up christopher osborne of stockbroker hoare govett said most analysts said that although the low gravity of the oil found would require additional costs in recovery the test well showed that it flows well although the gravity of oil at the field seems to be low it seems to flow quite well and around mln barrels could be recovered carol bell of phillips and drew told reuters however chevron officials declined to comment on the analysts reserve estimates they said that without further research and drilling in the area this summer they would not disclose any reserve figures analysts said that if the field were declared commercial and developed there would be a ready local market for the heavy crude it produced most refineries are now upgraded to refine heavy oils and the price differentials between heavy and light crudes are a lot narrower today osborne said chevron operates the block on behalf of companies which include british petroleum development ltd dsm hydrocarbons uk ltd enterprise oil tns ltd marathon int pet gb ltd and phillips petroleum co u k ltd reuter 
acq	arden group ardna o plans issuer tender arden group inc said it filed a registration statement with the securities and exchange commission covering two issuer tender offers it said one offer its directed to its class a common stock holders and another to holders of its pct debentures due march the planned offer for common stock holders calls for the company to exchange either dlrs in cash or dlrs principal amount of pct subordinated debentures due september or one share of a new class b common stock for each class a share held arden group said it also said the cash payment is subject to proration in addition the company said it plans to offer to exchange one dlr principal amount of pct debentures due september for each outstanding one dlr principal amount of pct debentures reuter 
acq	lomas lnk shareholders approve acquisition lomas and nettleton financial corp said its shareholders approved at a special meeting the company s acquisition of equitable life leasing corp for mln dlrs equitable life leasing corp is a subsidiary of equitable investment corp which is owned by the equitable life assurance co of u s lomas said the acquistion price will consist of one mln in cash mln shares of the company s common stock shares of a new series c preferred stock and mln dlrs principal amount of nine pct senior notes due the company added that the acquisition will close june reuter 
acq	almi group acquires interest in clearview baking almi group l p said its co chairmen michael landes and albert schwartz and its vice chairman michael spiegler have acquired a pct equity interest in clearview baking corp for undisclosed terms a dale mayo clearview s president and chief executive officer will retain a pct interest in the company almi group said reuter 
crude	ecuador to produce above opec quota minister ecuador will produce crude oil in excess of its bpd opec quota during the second half of this year energy minister fernando santos alvite told a news conference ecuador plans to produce bpd in august rising to bpd next january the minister said we will be producing more than the quota to pay off the crude and products we have been lent by venezuela nigeria and kuwait and to compensate for the crude we have been unable to produce during the past few months he said earthquake damage to a pipeline sharply cut ecuadorean production from march to may this year santos said the move had been explained to fellow opec members during last week s meeting in vienna when an increase in ecuador s quota to bpd from was approved they understood our position and we believe we remain within the spirit of the quota agreement he said immediately before the march quake ecuadorean production was bpd with bpd exported while its production was down venezuela nigeria and kuwait loaned ecuador a total mln barrels of crude and four mln barrels of products santos said reuter 
earn	laidlaw transportation ltd ldmf o third qtr shr cts vs cts net vs revs mln vs mln nine mths shr cts vs cts net vs revs mln vs mln avg shrs mln vs mln reuter 
earn	morrison inc morr o th qtr may net oper shr cts vs cts qtly div cts vs cts oper net vs revs mln vs mln year oper shr dlrs vs dlrs oper net mln vs mln revs mln vs mln note operating net in both periods excludes loss mln dlrs or cts a share from discontinued operations reuter 
acq	wal mart wmt completes acquisition wal mart stores inc said it has completed the acquisition of super saver warehouse inc and super saver is now a wholly owned unit of wal mart reuter 
acq	kraft kra completes frostex acquisition kraft inc said it completed the acquisition of frostex foods inc for undisclosed terms kraft said last month it had signed a letter of intent to acquire the austin texas based foodservice distributor reuter 
earn	precision target marketing ptmi o th qtr net qtr ended april shr profit one ct vs loss three cts net profit vs loss revs vs year shr profit four cts vs loss cts net profit vs loss revs vs note full name is precision target marketing inc latest year and quarter includes extraordinary gains of dlrs or three cts a share and dlrs or one ct a share reuter 
acq	rte corp rte buys emhart corp unit rte corp said it completed the purchase of emhart corp s united states aluminum electrolytic capacitor business for an undisclosed sum the company said the capacitor business is part of emhart s electrical and electronic group marketed under the mallory brand name the company said the product lines it acquired had sales of mln dlrs last year reuter 
earn	seven oaks international inc qpon o year net periods ended april shr cts vs cts net vs revs mln vs mln avg shrs vs reuter 
acq	united medical corp um sells unit united medical corp said it will sell its trotter treadmills inc unit the company said the sale is in line with its strategy of refocusing on its health care service business it said it had received interest from several parties but no agreement has yet been reached trotter treadmills makes motorized treadmills for the exercise enthusiast and fitness club market it said its sales for this year are projected to be over mln dlrs reuter 
veg-oil	franco german parley fails to unblock farm talks a specially convened franco german meeting in the sidelines of a summit of ec leaders failed to make any progress over a farm price package that has deeply split the two former ec allies diplomats said the meeting was attended by farm ministers and foreign ministers from both countries and by french president francois mitterand his prime minister jacques chirac and by chancellor helmut kohl of west germany the stalemate over farm prices is seen as a key to providing a solution to a long term settlement of the community s worst ever budget crisis the germans clearly do not want to budge an aide to chirac told reporters he added the french prime minister was visibly angered as he the hour long meeting bonn and paris are diametrically opposed to a proposal for the brussels executive commission to overhaul radically the ec s complex green currrency system designed to translate common ec farm prices into national currencies paris also supports a move for an oils and fats tax which west germany is against along with britain denmark and the netherlands ec farm minsters are due to resume negotiations on the package which should have been agreed by an april deadline tomorrow diplomats said it had been hoped that the summit could have injected fresh impetus into those talks the commission proposed its package to save one billion dollars on the ec s ever rising farm budget the summit has been dominated by lengthy talks on moves to alter the entire system of financing the nation group and plugging a billion dollar budget shortfall for reuter 
acq	cycare systems inc cycr buys medtec cycare systems inc said it bought control data corp s cda medtec unit for an undisclosed sum the company said medtec s new client base could have a significant impact on long term revenues although it expects a minimal positive impact on earnings in the next six months it said the assets purchased include processing agreements software maintenance contracts and the supporting software reuter 
acq	bass led group has pct bell and howell co stake for investment 
acq	mcchip mcs to to acquire reserve holding mcchip resources inc said it has agreed to exchange its interest in oklahoma oil and gas properties operated by reserve exploration co rexc o for restricted reserve common shares the company said it will have a pct stake in reserve s outstanding shares as a result of the exchange reuter 
acq	bass group has stake in bell and howell bhw an investor group led by robert bass of fort worth texas said it owns shares of bell and howell co common stock equal to pct of the company s common stock outstanding in a filing with the securities and exchange commission the group said it purchased bell and howell common shares between april and june at dlrs to dlrs a share the stock was acquired for investment purposes the group said adding it may purchase or sell additional shares in the future reuter 
ship	u s reasserts plans for deterrent role in gulf the united states responded to an apparent escalation of iranian rhetoric with continued assurances that its expanded military force in the gulf would play purely a deterrent role i can only emphasize that our role there is deterrent that we re going to be assuring safety for american shipping and that that shipping is not related to the war itself state department spokesman charles redman told reporters he was asked about iranian claims that the united states was moving towards the brink of armed conflict with iran tehran radio quoted defence spokesman ali akbar hashemi rafsanjani telling a visiting nicaraguan delegation yesterday at the moment the united states is moving towards the brink of an armed encounter with us we are not concerned about this and believe that the u s presence in the war will make our nation even more serious we are determined to stand firm and will certainly win the united states disclosed last week it was beefing up its gulf fleet from seven to warships and also sending the refurbished battleship missouri to patrol just outside the strategic strait of hormuz entrance to the gulf the buildup ties in with u s plans to escort kuwaiti oil tankers which have been re registered to fly the american flag and gain naval protection against iranian attacks asked about the iranian rhetoric white house spokesman marlin fitzwater said we won t have any comment or response to the iranian statements our position has been made clear about the status of events in the gulf we want an end to the war with no winners and no losers and any activities or statements that tend to prolong the war or increase hostilities are not helpful or welcome redman said he could not independently confirm reports that iran has offered to halt attacks on gulf shipping reuter 
earn	hartmarx corp hmx nd qtr may net shr cts vs cts net vs sales mln vs mln six mths shr cts vs cts net mln vs mln sales mln vs mln reuter 
acq	cxr cxrl o torotel trtl o to settle suit cxr telcom corp and torotel inc agreed in principle to settle pending litigation regarding the sale of torotel s former halcyon communications inc unit to cxr in march the two companies said in a joint statement the agreement calls for cxr to pay to torotel dlrs in exchange for return of a mln dlr note and five mln cxr common shares valued at mln dlrs the companies said in june cxr filed the suit in san francisco federal court charging that the mln dlr price it paid for halycon was excessive torotel said it also said that in is suit cxr asked for seven mln dlrs in damages along with an unspecified punitive award reuter 
acq	cablevision systems cvcc buys stations cablevision systems corp said it bought cable television systems in six dutchess county n y communities from dutchess county cablevision associates ltd the company said the acquisition of the new systems will add to its presence in new york it said it will add subsribers to its subscriber base reuter 
acq	austec ail s complete purchase of private firm austec international ltd said its north american unit austec inc completed the purchase of privately held ryan mcfarland corp for an undisclosed sum the company said the two units combined are expected to have net revenues of about mln dlrs in ryan mcfarlnad develops cobol and fortran language compilers for the micro mini and mainframe computer markets austec international is based in melbourne australia ryan mcfarland is located in rolling hills estates calif reuter 
acq	tecsyn international terminates takeover talks with investor group 
acq	campeau says it is not part of sec proceeding campeau corp said it is not involved in the securities and exchange commission s administrative proceeding against allied stores corp which campeau acquired at the end of last year in a statement the company said the sec action involves events that occurred prior to campeau s acquisition of allied relating to the alleged failure of allied to make certain disclosures consequently campeau is not subject to the procedings reuter 
acq	fortune systems fsys o approves unit sale fortune systems corp said its shareholders approved the sale of its computer hardware business to sci technologies inc the transaction is expected to close this week at its annual meeting fortune said shareholders also voted to change fortune s name to tigera inc its principal subsidiary is tigeral corp reuter 
acq	tecsyn tsna to terminates takeover talks tecsyn international inc said it terminated takeover discussions with a u s based investors group after the group was unable to establish access to funds to complete the proposed transactions contrary to previous assurances tecsyn previously said it and its controlling shareholders accepted in principle a proposal from the group to offer nine dlrs a share for pct of tecsyn s outstanding shares the investor group also planned to invest mln dlrs in a private placement of four mln non voting tecsyn common shares the company said reuter 
acq	goodyear gt to sell stake in toyobo petcord goodyear said it is selling its pct interest in toyobo petcord ltd of japan to its partner in the venture toyobo co reuter 
earn	washington scientific wsci o nd qtr net shr cts vs two cts net vs sales vs six mths shr cts vs cts net vs sales mln vs mln note full company name is washington scientific industries inc second quarter ended june seven reuter 
acq	gencorp inc says to sell general tire to continental gummi for mln dlrs 
crude	venezuela budget sees dlrs oil price venezuela s government tomorrow presents a budget proposal for billion bolivars based upon an oil price of dlrs per barrel finance minister manuel azpurua said azpurua told reporters after a cabinet meeting the new budget projects ordinary income of billion bolivars and extraordinary income of billion oil revenues are expected to produce billion or pct of the total the finance minister said the oil revenue projection is based on an average price of dlrs per barrel in venezuelan oil through the first half of has averaged dlrs per barrel according to the state oil company petroleos de venezuela s a reuter 
acq	gencorp gy to sell general tire gencorp inc and continental ag of hanover west germany jointy announced they signed an agreement for continental to buy gencorp s general tire inc subsidiary for mln dlrs in cash under the agreement the companies said continental will acquire general tire including its related domestic and foreign operations and gencorp will retain liability for the medical benefits of retired general tire employees who retired on or before november the sale is expected to be completed on or before november one and is subject to meeting certain conditions continental is europe s second largest tire producer last year the company had sales of billion dlrs with billion dlrs generated by its tire operations last year general tire had operating profits of mln dlrs on sales of billion dlrs and gencorp had operating profits of mln dlrs on sales of billion dlrs gencorp spokesman rip tilden said the company will retain about mln dlrs in liability for its former general tire employees under the agreement tilden said gencorp will use the proceeds from the sale to reduce its billion dlr debt in april gencorp sucessfully thwarted a takeover by a partnership formed by afg industries inc afg and wagner and brown with a restructuring program that included the purchase of up to pct or mln shares of its common at dlrs a share for a total of billion dlrs as part of the restructuring gencorp also said it planned to sell its tire business the bottling operations of its rko general inc subsidiary and rko s remaining broadcast properties to focus on the company s aerospace and automotive components businesses tilden said gencorp expects to realize about mln dlrs in after tax proceeds by the end of as a result of sale of several pieces of the nonbroadcast assets of the company including general tire the price paid for general tire would not cause us to reevaluate that estimate said tilden general tire employs people worldwide and has four tire manufacturing plants in the u s and one in canada in a statemnet a william reynolds gencorp chairman said the sale of general tire represents a critical accomplishment in our plan to restructure gencorp reynolds also said gencorp s previously announced sale of its other businesses are proceeding satisfactorily among the pieces of gencorp s empire that remain to be sold are its rko bottling operations gencorp agreed to sell rko s khj tv station to walt disney co dis for mln dlrs that deal awaits approval by the federal communications commission gencorp also received dlrs after tax from the sale of rko s wor tv reuter 
earn	advanced institutional aims o year loss shr loss cts vs profit cts net loss mln dlrs vs profit dlrs revs mln dlrs vs mln dlrs note the year ended march the company s full name is advanced institutional management software inc reuter 
acq	kellwood kwd buying three companies kellwood co said it signed a definitive agreement to acquire robert scott ltd inc david brooks ltd inc and andrew harvey ltd of dedham mass terms were not disclosed combined sales of the three companies in were over mln dlrs it said the deals are expected to be completed by july kellwood said reuter 
acq	a h robins says rorer group merger proposal merits further consideration 
